<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI [RTSIDX],Daily,20021227,0,354.920000,359.170000,354.920000,359.170000,4746187.000000
RTSI [RTSIDX],Daily,20021230,0,358.660000,359.030000,357.970000,358.960000,6393669.000000
RTSI [RTSIDX],Daily,20021231,0,358.860000,359.070000,358.860000,359.070000,1786785.000000
RTSI [RTSIDX],Daily,20030104,0,360.170000,360.890000,360.120000,360.790000,2030572.000000
RTSI [RTSIDX],Daily,20030105,0,360.770000,360.770000,359.700000,359.790000,2494570.000000
RTSI [RTSIDX],Daily,20030108,0,353.410000,355.590000,349.900000,354.770000,11431821.000000
RTSI [RTSIDX],Daily,20030109,0,355.550000,358.360000,355.550000,358.360000,10354831.000000
RTSI [RTSIDX],Daily,20030110,0,359.140000,359.550000,357.940000,357.940000,14074978.000000
RTSI [RTSIDX],Daily,20030113,0,359.580000,362.330000,359.430000,360.450000,10174052.000000
RTSI [RTSIDX],Daily,20030114,0,359.900000,359.900000,359.210000,359.280000,8218083.000000
RTSI [RTSIDX],Daily,20030115,0,359.790000,361.840000,359.790000,360.880000,9926262.000000
RTSI [RTSIDX],Daily,20030116,0,361.880000,361.940000,360.310000,361.490000,12947708.000000
RTSI [RTSIDX],Daily,20030117,0,359.190000,359.190000,356.400000,356.400000,11298134.000000
RTSI [RTSIDX],Daily,20030120,0,355.750000,356.770000,355.670000,356.080000,2901688.000000
RTSI [RTSIDX],Daily,20030121,0,355.580000,355.580000,343.890000,343.890000,21312351.000000
RTSI [RTSIDX],Daily,20030122,0,342.210000,344.930000,342.210000,342.890000,15785369.000000
RTSI [RTSIDX],Daily,20030123,0,344.570000,344.570000,338.000000,341.400000,16351809.000000
RTSI [RTSIDX],Daily,20030124,0,341.110000,343.510000,339.990000,343.310000,13623104.000000
RTSI [RTSIDX],Daily,20030127,0,339.120000,339.460000,335.330000,336.080000,9339927.000000
RTSI [RTSIDX],Daily,20030128,0,342.090000,342.780000,341.750000,342.720000,7958699.000000
RTSI [RTSIDX],Daily,20030129,0,346.220000,346.580000,345.410000,346.580000,12101790.000000
RTSI [RTSIDX],Daily,20030130,0,347.240000,347.740000,346.250000,347.740000,13622430.000000
RTSI [RTSIDX],Daily,20030131,0,347.000000,347.630000,345.560000,345.560000,11363583.000000
RTSI [RTSIDX],Daily,20030203,0,346.560000,347.060000,344.970000,347.060000,9459091.000000
RTSI [RTSIDX],Daily,20030204,0,345.310000,348.800000,345.310000,346.690000,19848823.000000
RTSI [RTSIDX],Daily,20030205,0,346.060000,346.900000,345.890000,346.790000,11284068.000000
